team,captain
France,Hugo Lloris
England,Jordan Henderson
Germany,Manuel Neuer
Brazil,Joao Miranda
Portugal,Christiano Ronaldo
Argentina,Lionel Messi
Belgium,Eden Hazard
Spain,Sergio Ramos
Poland,Jackub Swierczok
Switzerland,Stephan Lichtsteiner
Peru,Paolo Guerrero
Denmark,Simon Kjaer
Columbia,James Rodriguez
Italy,Vacant
Mexico,Andres Guardado
Croatia,Luca Modric
Sweden,Andreas Granqvist
Wales,Ashley Williams
Netherland,Vacant
Uruguay,Diego Godin
Iceland,Aron Gunnarsson
Senegal,Cheikhou Kouyaté
USA,Michael Bradley
Northern Ireland,Steven Davis
Costa Rica,Bryan Ruiz
Tunisia,Aymen Mathlouthi
Slovakia,Martin Skrtel
Austria,Julian Baumgartlinger
Paraguay,Paulo Da Silva
Chile,Claudio Bravo
