team,name,continent
France,UEFA,Europe
England,UEFA,Europe
Germany,UEFA,Europe
Brazil,CONMEBOL,South America
Portugal,UEFA,Europe
Argentina,CONMEBOL,South America
Belgium,UEFA,Europe
Spain,UEFA,Europe
Poland,UEFA,Europe
Switzerland,UEFA,Europe
Peru,CONMEBOL,South America
Denmark,UEFA,Europe
Columbia,CONMEBOL,South America
Italy,UEFA,Europe
Mexico,CONMEBOL,South America
Croatia,UEFA,Europe
Sweden,UEFA,Europe
Wales,UEFA,Europe
Netherland,UEFA,Europe
Uruguay,CONMEBOL,South America
Iceland,UEFA,Europe
Senegal,CAF,Africa
USA,CONCACAF,North America
Northern Ireland,UEFA,Europe
Costa Rica,CONCACAF,North America
Tunisia,CAF,Africa
Slovakia,UEFA,Europe
Austria,UEFA,Europe
Paraguay,CONMEBOL,South America
Chile,CONMEBOL,South America
